Selected_Features,Accuracy,Normalize,Intervalo,HyperP
"Open, rsi, sma_5_t, ema_10_t",57.58683729433272,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, rsi, sma_5_t, ema_10_t",56.98,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, ema_5_t, sma_5_t, ema_10_t",56.42900670322973,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Open, ema_5_t, sma_5_t, ema_10_t",56.86,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"rsi, ema_5_t, sma_5_t, ema_10_t",57.891529555149305,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"rsi, ema_5_t, sma_5_t, ema_10_t",58.56,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, sma_5_t",57.40402193784278,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, sma_5_t",56.79,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, ema_10_t",58.07434491163925,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, ema_5_t, ema_10_t",57.59,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, sma_5_t, ema_10_t",57.28214503351615,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, rsi, sma_5_t, ema_10_t",56.73,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, ema_5_t, sma_5_t, ema_10_t",57.28214503351615,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, Open, ema_5_t, sma_5_t, ema_10_t",57.59,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, rsi, ema_5_t, sma_5_t, ema_10_t",57.95246800731262,True,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
"Volume, rsi, ema_5_t, sma_5_t, ema_10_t",58.01,False,Interval.in_1_minute,"{'max_depth': 9, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 64, 'n_jobs': 5}"
